code_or_id,type,name,lat,lon,lines
A01,Metro Center,38.898303,-77.028099,RD
A02,Farragut North,38.903192,-77.039766,RD
A03,Dupont Circle,38.909499,-77.04362,RD
A04,Woodley Park-Zoo/Adams Morgan,38.924999,-77.052648,RD
A05,Cleveland Park,38.934703,-77.058226,RD
A06,Van Ness-UDC,38.94362,-77.063511,RD
A07,Tenleytown-AU,38.947808,-77.079615,RD
A08,Friendship Heights,38.960744,-77.085969,RD
A09,Bethesda,38.984282,-77.094431,RD
A10,Medical Center,38.999947,-77.097253,RD
A11,Grosvenor-Strathmore,39.029158,-77.10415,RD
A12,White Flint,39.048043,-77.113131,RD
A13,Twinbrook,39.062359,-77.121113,RD
A14,Rockville,39.084215,-77.146424,RD
A15,Shady Grove,39.119819,-77.164921,RD
B01,Gallery Pl-Chinatown,38.89834,-77.021851,RD
B02,Judiciary Square,38.896084,-77.016643,RD
B03,Union Station,38.897723,-77.006745,RD
B04,Rhode Island Ave-Brentwood,38.920741,-76.995984,RD
B05,Brookland-CUA,38.933234,-76.994544,RD
B06,Fort Totten,38.951777,-77.002174,RD
B07,Takoma,38.975532,-77.017834,RD
B08,Silver Spring,38.993841,-77.031321,RD
B09,Forest Glen,39.015413,-77.042953,RD
B10,Wheaton,39.038558,-77.051098,RD
B11,Glenmont,39.061713,-77.05341,RD
B35,NoMa-Gallaudet U,38.907407,-77.002961,RD
C01,Metro Center,38.898303,-77.028099,BL:OR:SV
C02,McPherson Square,38.901316,-77.033652,BL:OR:SV
C03,Farragut West,38.901311,-77.03981,BL:OR:SV
C04,Foggy Bottom-GWU,38.900599,-77.050273,BL:OR:SV
C05,Rosslyn,38.896595,-77.07146,BL:OR:SV
C06,Arlington Cemetery,38.884574,-77.063108,BL
C07,Pentagon,38.869349,-77.054013,BL:YL
C08,Pentagon City,38.863045,-77.059507,BL:YL
C09,Crystal City,38.85779,-77.050589,BL:YL
C10,Ronald Reagan Washington National Airport,38.852985,-77.043805,BL:YL
C12,Braddock Road,38.814009,-77.053763,BL:YL
C13,King St-Old Town,38.806474,-77.061115,BL:YL
C14,Eisenhower Avenue,38.800313,-77.071173,YL
C15,Huntington,38.793841,-77.075301,YL
D01,Federal Triangle,38.893757,-77.028218,BL:OR:SV
D02,Smithsonian,38.888022,-77.028232,BL:OR:SV
D03,L'Enfant Plaza,38.884775,-77.021964,BL:OR:SV
D04,Federal Center SW,38.884958,-77.01586,BL:OR:SV
D05,Capitol South,38.884968,-77.005137,BL:OR:SV
D06,Eastern Market,38.884124,-76.995334,BL:OR:SV
D07,Potomac Ave,38.880841,-76.985721,BL:OR:SV
D08,Stadium-Armory,38.88594,-76.977485,BL:OR:SV
